School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
1995/1996,Public,Horizon School Division No. 67 ,1045,,180,316,303,306,304,300,290,285,272,246,238,193,228,3461
1995/1996,Public,Prairie Rose Regional Division No. 8 ,1055,2,228,347,296,300,337,330,313,318,314,285,159,116,162,3507
1995/1996,Public,Peace River School Division No. 10 ,1070,,172,331,328,340,325,367,332,349,356,319,336,315,285,4155
1995/1996,Public,Grande Yellowhead Regional Division No. 35 ,1085,,474,534,466,510,475,510,512,517,517,558,574,549,551,6747
1995/1996,Public,Sturgeon School Division No. 24 ,1110,55,346,354,369,354,370,385,358,367,376,364,377,373,434,4882
1995/1996,Public,Prairie Land Regional Division No. 25 ,1115,,169,174,172,199,190,163,195,186,190,167,141,148,164,2258
1995/1996,Public,Livingstone Range School Division No. 68 ,1135,4,315,369,350,370,383,420,429,438,441,416,419,356,453,5163
1995/1996,Public,Buffalo Trail Regional Division No. 28 ,1155,1,257,441,387,381,446,425,425,422,440,381,356,408,395,5165
1995/1996,Public,Pembina Hills Regional Division No. 7 ,1175,1,358,366,377,380,387,419,401,410,435,408,422,382,452,5198
1995/1996,Public,Foothills School Division No. 38 ,1180,36,205,474,477,485,522,535,526,474,494,506,475,436,529,6174
1995/1996,Public,Rocky View School Division No. 41 ,1190,,412,810,863,826,961,890,947,984,935,895,872,832,841,11068
1995/1996,Public,High Prairie School Division No. 48 ,1220,,278,309,257,276,271,270,279,273,276,264,262,247,269,3531
1995/1996,Public,Northern Lights School Division No. 69 ,1245,,482,627,489,573,555,541,527,497,494,503,467,418,470,6643
1995/1996,Public,Fort Vermilion School Division No. 52 ,1250,,225,294,250,241,264,234,249,248,209,232,215,142,117,2920
1995/1996,Public,Northland School Division No. 61 ,1280,14,141,383,344,281,297,311,313,294,210,183,140,57,64,3032
1995/1996,Public,Wild Rose School Division No. 66 ,1325,,216,445,442,482,419,420,489,460,470,471,426,406,497,5643
1995/1996,Public,Grasslands Regional Division No. 6 ,2045,,219,320,349,291,306,338,313,325,338,294,269,282,291,3935
1995/1996,Public,Clearview Regional Division No. 24 ,2065,,82,238,245,235,224,224,271,260,251,272,227,224,265,3018
1995/1996,Public,Wetaskiwin Regional Division No. 11 ,2115,56,326,383,365,366,372,381,371,405,368,345,434,312,415,4899
1995/1996,Public,Aspen View Regional Division No. 19 ,2125,,243,274,295,285,266,352,347,328,274,319,294,270,253,3800
1995/1996,Public,Wolf Creek Regional Division No. 32 ,2145,14,287,650,596,603,706,615,619,640,644,583,617,556,656,7786
1995/1996,Public,Golden Hills Regional Division No. 15 ,2155,,396,472,488,487,450,495,474,482,478,404,464,402,431,5923
1995/1996,Public,St. Paul Education Regional Division No. 1 ,2185,,260,329,299,312,303,318,305,313,326,293,334,300,302,3994
1995/1996,Public,Elk Island Public Schools Regional Division No. 14 ,2195,,924,1085,1058,1023,1151,1099,1127,1160,1134,1162,1156,1166,1505,14750
1995/1996,Public,Chinook's Edge Regional Division No. 5 ,2225,,407,887,857,825,868,847,869,837,916,781,883,785,809,10571
1995/1996,Public,Black Gold Regional Division No. 18 ,2245,32,641,614,661,627,610,657,697,654,649,616,645,656,766,8525
1995/1996,Public,Palliser Regional Division No. 26 ,2255,,206,347,333,321,323,345,374,298,318,325,320,274,314,4098
1995/1996,Public,Northern Gateway Regional Division No. 10 ,2275,,316,469,417,414,477,447,457,525,475,468,467,424,393,5749
1995/1996,Public,Battle River Regional Division No. 31 ,2285,,150,571,608,587,574,649,646,608,637,617,683,591,710,7631
1995/1996,Public,Parkland School Division No. 70 ,2305,125,679,729,671,676,717,743,791,782,742,763,709,688,885,9700
1995/1996,Public,Westwind Regional Division No. 9 ,2310,1,175,343,355,342,384,350,418,399,429,353,379,327,387,4642
1995/1996,Public,Edmonton School District No. 7 ,3020,1621,6177,6061,5907,5695,5862,5878,5748,5938,5734,5509,6562,5392,6541,78625
1995/1996,Public,Calgary School District No. 19 ,3030,6,6397,7835,7523,7416,7420,7485,7801,7631,7168,7037,8299,7654,9153,98825
1995/1996,Public,Lethbridge School District No. 51 ,3040,4,547,599,563,566,634,562,579,634,606,589,739,696,837,8155
1995/1996,Public,Medicine Hat School District No. 76 ,3050,138,403,540,458,384,498,474,491,457,496,504,572,520,612,6547
1995/1996,Public,Canadian Rockies Regional Division No. 12 ,3065,2,207,245,176,191,196,200,187,208,168,158,157,131,157,2383
1995/1996,Public,Red Deer School District No. 104 ,3070,124,598,693,678,624,681,692,658,680,675,673,713,685,807,8981
1995/1996,Public,Lloydminster Public School Division ,3170,5,130,127,121,125,129,110,122,98,104,96,154,130,164,1615
1995/1996,Public,Grande Prairie School District No. 2357 ,3240,139,342,353,331,346,360,369,343,350,343,356,534,305,349,4820
1995/1996,Public,Fort McMurray School District No. 2833 ,3260,,338,271,311,281,307,341,337,328,347,375,344,339,378,4297
1995/1996,Public,Peace Wapiti Regional Division No. 33 ,3345,,123,487,443,428,493,491,521,526,524,485,478,366,345,5710
1995/1996,Public,Greater St. Albert Catholic Regional Division No. 29 ,4077,22,517,509,523,521,537,546,573,603,560,539,481,405,534,6870
1995/1996,Separate,Calgary Roman Catholic Separate School District No. 1 ,4010,,3104,3265,3180,3131,3057,3086,3055,2978,2762,2520,2416,2248,2755,37557
1995/1996,Separate,Edmonton Roman Catholic Separate School District No. 7 ,4020,,2366,2485,2521,2392,2388,2442,2340,2450,2381,2348,2297,2071,2583,31064
1995/1996,Separate,Vegreville Catholic Separate School District No. 16 ,4050,,68,67,55,50,54,62,53,51,46,51,21,36,41,655
1995/1996,Separate,Red Deer Roman Catholic Separate School District No. 17 ,4060,28,245,285,256,241,275,274,245,282,225,240,240,214,254,3304
1995/1996,Separate,Slave Lake RCSSD #364 ,4074,,41,48,58,40,47,50,41,46,37,39,31,19,17,514
1995/1996,Separate,Lakeland Roman Catholic Separate School District No. 150 ,4105,6,187,185,182,169,153,164,116,133,137,109,147,107,101,1896
1995/1996,Separate,Grande Prairie Roman Catholic Separate School District No. 28 ,4130,,239,255,232,234,221,230,229,223,202,182,184,152,176,2759
1995/1996,Separate,Fort McMurray Roman Catholic Separate School District No. 32 ,4160,,296,315,295,298,288,308,326,307,266,250,235,226,308,3718
1995/1996,Separate,Christ the Redeemer Catholic Separate Regional Division No. 3 ,4208,,,300,268,254,257,260,203,198,180,153,128,99,66,2366
1995/1996,Separate,North Peace Roman Catholic Separate School District No. 43 ,4210,,78,104,95,90,81,89,99,100,98,87,43,47,80,1091
1995/1996,Separate,Holy Family Catholic Separate Regional Division No. 17 ,4211,,92,107,95,114,102,79,83,57,57,44,47,25,23,925
1995/1996,Separate,Sundance Catholic Separate Regional Division No. 10 ,4220,1,88,92,94,81,105,86,100,118,77,71,20,11,18,962
1995/1996,Separate,East Central Alberta Catholic Separate Schools Regional Division No. 16 ,4330,,89,311,269,250,257,275,259,247,202,183,194,131,123,2790
1995/1996,Separate,Holy Spirit Roman Catholic Separate Regional Division No. 4 ,4481,,341,378,363,356,357,356,343,366,338,364,264,251,281,4358
1995/1996,Separate,Medicine Hat Catholic Separate Regional Division No. 20 ,4501,20,177,184,177,174,192,165,164,224,199,179,201,194,222,2472
1995/1996,Separate,Holy Trinity Cath Reg Div #21 ,4571,,87,108,107,79,97,86,94,81,54,76,66,45,52,1032
1995/1996,Separate,Fort Saskatchewan Roman Catholic Separate School District No. 104 ,4670,,68,85,63,66,71,71,74,72,70,63,58,76,73,910
1995/1996,Separate,Sherwood Park Catholic Separate School District No. 105 ,4680,,325,343,347,303,333,315,350,298,293,281,238,212,249,3887
1995/1996,Separate,Good Shepherd Roman Catholic Separate Regional Division No. 13 ,4740,,94,89,92,87,91,100,98,97,101,61,69,66,26,1071
1995/1996,Separate,Lloydminster Roman Catholic Separate School Division ,4870,,68,66,44,53,53,62,52,47,58,51,48,43,34,679
1995/1996,Separate,St. Thomas Aquinas Roman Catholic Separate Regional Division No. 22 ,4945,,121,146,144,140,157,169,124,136,122,130,55,36,39,1519
1995/1996,Separate,St. Albert Protestant Separate School District No. 6 ,7020,,375,414,436,429,451,450,445,468,469,484,483,567,758,6229
1995/1996,Separate,Evergreen Catholic Separate Regional Division No. 2 ,8100,,130,147,139,137,122,148,141,156,144,125,111,130,108,1738
1995/1996,Francophone,North Central Francophone Education Region No. 4 ,8040,,120,116,89,112,86,112,74,77,73,51,40,46,45,1041
1995/1996,Francophone,Northwest Francophone Education Region No. 1 ,8050,,21,16,19,13,23,19,18,12,20,23,21,12,19,236
1995/1996,Francophone,East Central Francophone Education Region No. 3 ,8060,,49,46,38,43,31,39,38,33,30,19,21,6,,393
1995/1996,Charter,Education for the Gifted Society of Strathcona County ,6015,,5,6,7,5,10,7,11,9,10,7,,,,77
1995/1996,Charter,Society for Talent Education ,6018,,10,13,8,4,8,6,8,,,,,,,57
1995/1996,Charter,CAPE - Centre for Academic and Personal Excellence Institute ,6019,,,15,16,8,6,8,14,9,13,7,,,,96
1995/1996,Private,"The Evangelical Lutheran St. Matthew's Church of Stony Plain, Alberta ",9018,,4,6,9,7,6,15,3,14,7,7,,,,78
1995/1996,Private,Robin Hood Sch Special Ed ,9020,,35,,,,,,,,,,,,,35
1995/1996,Private,The Rocky Christian School Society ,9022,,19,13,21,23,13,20,13,17,14,17,,,,170
1995/1996,Private,College Heights Ad Jr Acad ,9023,,,16,12,13,15,14,19,21,25,27,,,,162
1995/1996,Private,Parkview Adventist Academy ,9024,,,,,,,,,,,,33,61,76,170
1995/1996,Private,The Lacombe Christian School Society ,9025,,32,26,39,35,48,44,35,34,37,31,,,,361
1995/1996,Private,Red Deer Christian School Society ,9026,,20,19,21,29,14,16,21,19,15,11,,,,185
1995/1996,Private,Parkland Community Living and Supports Society ,9027,14,,,,,,,,,,,,,,14
1995/1996,Private,Horizon Sch Special Ed ,9031,23,2,,,,,,,,,,,,,25
1995/1996,Private,Prairie Bible Institute ,9038,,34,27,42,35,37,28,37,36,40,42,73,83,86,600
1995/1996,Private,The Society for Christian Education in Southern Alberta ,9041,,43,38,35,47,41,63,47,66,44,50,57,59,37,627
1995/1996,Private,Coaldale Canadian Reformed School Society ,9042,,11,13,18,11,14,14,14,12,10,16,,,,133
1995/1996,Private,Cornerstone Christian School ,9045,,26,7,7,14,7,5,6,2,1,2,,,,77
1995/1996,Private,The Edmonton Society for Christian Education ,9046,,75,67,78,69,56,84,71,66,77,82,61,57,44,887
1995/1996,Private,Concordia College ,9052,,,,,,,,,,,,89,50,203,342
1995/1996,Private,Alberta College (ASN) ,9058,,,,,,,,,,,,178,406,1285,1869
1995/1996,Private,Tempo School ,9059,,,31,40,33,36,31,20,18,17,16,,8,6,256
1995/1996,Private,Centennial Montessori Society ,9061,,12,4,,4,3,1,1,5,,2,2,,2,36
1995/1996,Private,Red Deer College Alumni Association ,9066,,20,,,,,,,,,,,,,20
1995/1996,Private,Calgary Society for Christian Education ,9067,,41,43,48,56,43,66,65,50,46,52,43,40,35,628
1995/1996,Private,Christopher Robin School Ltd. ,9070,,40,39,39,32,,,,,,,,,,150
1995/1996,Private,The Canadian Montessori Association(1983) ,9071,,32,58,34,33,17,25,14,7,6,4,4,3,1,238
1995/1996,Private,Strathcona-Tweedsmuir School ,9072,,,20,20,20,42,43,43,66,66,66,54,67,50,557
1995/1996,Private,Yellowhead Christian School ,9077,,6,6,7,5,8,5,5,7,4,6,4,7,3,73
1995/1996,Private,Canadian Reformed School Society of Neerlandia ,9078,,,12,8,12,25,15,15,18,17,11,10,5,,148
1995/1996,Private,Parkland Immanuel Christ Sch ,9092,,17,13,19,23,9,18,18,11,14,22,15,16,15,210
1995/1996,Private,Grant MacEwan (ASN) ,9098,,11,,,,,,,,,,,,,11
1995/1996,Private,Millwoods Christian School ,9105,,23,52,42,33,35,36,37,32,41,26,22,20,27,426
1995/1996,Private,Heritage Christian Ministries ,9106,,72,69,67,61,58,58,54,45,41,40,30,24,19,638
1995/1996,Private,Foothills Academy Society ,9107,,,,3,2,10,13,22,25,21,11,10,4,2,123
1995/1996,Private,Grande Prairie and District Society for Christian Education ,9109,,19,9,10,7,6,7,3,5,9,5,2,3,2,87
1995/1996,Private,Christian Education Association of Alberta ,9110,,16,11,12,14,15,13,8,15,12,11,,,,127
1995/1996,Private,Calvin Christian School Society of the Netherlands Reformed Congregations ,9112,3,56,55,57,44,45,47,34,35,23,27,26,23,19,494
1995/1996,Private,Strathcona Christ Academy ,9116,,50,49,54,57,54,57,59,61,59,60,60,55,48,723
1995/1996,Private,GCA Educational Society ,9118,,48,72,51,49,51,50,50,50,49,70,,,,540
1995/1996,Private,Lethbridge Christian School Society ,9120,,16,13,11,16,17,14,17,12,10,7,,,,133
1995/1996,Private,Word of Life School Society ,9127,,24,23,19,18,13,17,22,16,22,7,11,13,5,210
1995/1996,Private,The Calgary Society for Effective Education of Learning Disabled ,9131,51,,,,,9,12,14,26,32,13,21,25,25,228
1995/1996,Private,Leduc Christian Academy ,9133,,6,6,3,5,3,2,5,2,1,,,,1,34
1995/1996,Private,Medicine Hat Christian School ,9137,,31,16,16,22,14,14,26,14,19,13,,,,185
1995/1996,Private,West Island College Society of Alberta ,9140,,,,,,,,,40,47,25,42,48,38,240
1995/1996,Private,Meadowlark Christian School ,9141,,47,37,45,43,35,33,26,40,22,15,,,,343
1995/1996,Private,"Evangelical Free Church of Champion, Alberta ",9146,,,19,21,13,14,10,15,11,11,15,9,3,4,145
1995/1996,Private,Congregation House of Jacob - Mikveh Israel ,9147,,12,17,14,10,7,15,3,,,,,,,78
1995/1996,Private,Lesser Slave Lake North Country Community Association ,9152,,,2,2,,4,1,3,1,2,4,6,1,,26
1995/1996,Private,Edmonton Bible Heritage Christian School & College Society ,9153,,,1,,,,,,,,,,,,1
1995/1996,Private,Lakeland Church of God in Christ (Mennonite) of Dewberry ,9157,,,,,1,,,3,,,1,,,,5
1995/1996,Private,Lakeview Christian School ,9158,,,2,4,3,2,2,,4,5,2,,,,24
1995/1996,Private,Kneehill Christian School ,9159,,,17,8,10,12,11,6,5,13,4,,,,86
1995/1996,Private,St. John's School of Alberta ,9162,,,,,,,,,10,22,22,27,13,13,107
1995/1996,Private,Stirling Mennonite Church Day School ,9163,,,2,2,1,2,1,3,,4,,,,,15
1995/1996,Private,Apostolic Ch Training Sch ,9166,,5,3,4,10,4,9,12,10,6,8,3,5,4,83
1995/1996,Private,Ponoka Christian School Society ,9167,,,14,11,14,10,13,11,11,7,10,,,,101
1995/1996,Private,Living Faith Evangelistic Association ,9168,,,3,,3,1,3,4,2,4,3,5,5,5,38
1995/1996,Private,Hillcrest Christian School Society ,9171,,3,3,4,,4,5,5,8,6,3,,,,41
1995/1996,Private,Edmonton Academy Society for Learning Disabled ,9172,,,,,,,2,4,4,4,4,9,5,11,43
1995/1996,Private,Lycee Louis Pasteur Society ,9173,,29,26,25,19,16,18,23,15,12,6,,,,189
1995/1996,Private,Banbury Crossroads Private School ,9175,,5,3,1,,,1,,,1,1,2,2,1,17
1995/1996,Private,Menno Simons Educational Society of Calgary ,9179,,9,17,13,9,4,18,19,12,21,10,,,,132
1995/1996,Private,Henderson College of Business ,9184,,,,,,,,,,,,,,58,58
1995/1996,Private,Leduc Society for Christian Education ,9186,,14,10,15,16,15,26,15,26,22,19,,,,178
1995/1996,Private,Society for Christian Education in Southern Alberta 1997 ,9194,,15,24,9,17,10,23,13,20,17,10,,,,158
1995/1996,Private,Moberly Hall School ,9195,,,1,1,2,3,1,5,3,6,4,1,,,27
1995/1996,Private,St. Luke's Collegiate Institute Inc. ,9196,,,,,,,,,,,8,22,30,82,142
1995/1996,Private,Saddle Lake Indian Full Gospel School Mission ,9208,,6,10,6,3,5,3,6,3,2,,,,,44
1995/1996,Private,Koinonia Christian School - Red Deer Society ,9211,,32,26,43,33,25,23,27,17,24,19,13,5,4,291
1995/1996,Private,Cremona Koinonia Christian Sch ,9212,,,,1,1,1,,2,1,1,1,3,1,2,14
1995/1996,Private,Olds Koinonia Christian School Society ,9213,,22,23,17,22,11,17,16,23,21,20,28,25,18,263
1995/1996,Private,Old Sun Community College ,9218,,,,,,,,,,,,39,21,8,68
1995/1996,Private,Calgary Waldorf School Society ,9224,,21,48,20,22,11,19,16,17,17,15,,,,206
1995/1996,Private,Progressive Academy Education Society ,9225,5,8,3,5,8,5,4,5,5,3,4,4,2,,61
1995/1996,Private,Rundle College Society ,9230,,,,,,26,27,28,47,46,35,34,13,23,279
1995/1996,Private,Newell Christian School Society ,9250,,12,115,93,85,83,83,76,59,57,14,31,21,6,735
1995/1996,Private,Morinville Christian Fellowship ,9253,,,9,7,8,5,6,7,8,8,8,1,,2,69
1995/1996,Private,The Rimbey Christian School Society ,9254,,12,12,11,14,15,6,14,13,13,11,6,1,1,129
1995/1996,Private,The Cornerstone Christian Academy of Camrose ,9256,,7,10,7,,10,10,3,10,6,9,9,1,1,83
1995/1996,Private,Red Crow Community College ,9261,,,,,,,13,,,,44,68,80,56,261
1995/1996,Private,Elves Memorial Child Dev Soc ,9263,9,15,,,,,,,,,,,,,24
1995/1996,Private,Maranatha Christian Academy Fellowship ,9266,,6,6,3,4,2,,1,1,,,,,,23
1995/1996,Private,Ft. McMurray #468 First Nation ,9267,,,,,,,,,,,,4,1,,5
1995/1996,Private,Edmonton Islamic School Society ,9269,,27,33,21,25,12,12,4,,,,,,,134
1995/1996,Private,Airdrie Koinonia Christian School Society ,9270,,35,23,26,17,8,20,8,16,8,12,7,,,180
1995/1996,Private,Bosco Homes ,9272,,,,,1,,2,2,5,4,3,5,,,22
1995/1996,Private,The Life Values Society For Effective Education ,9276,,,1,,3,1,5,9,9,4,3,2,,,37
1995/1996,Private,Montessori Elem Of Calgary ,9281,,1,16,18,10,,1,,,,,,,,46
1995/1996,Private,Heritage School ,9283,20,27,,,,,,,,,,,,,47
1995/1996,Private,Central Alberta Christian High School Society ,9294,,,,,,,,,,,,20,30,21,71
1995/1996,Private,Calgary Chinese Private School ,9296,,,,,,,,,,,,3,5,12,20
1995/1996,Private,Columbia College Inc ,9298,,,,,,1,,4,,1,4,7,9,10,36
1995/1996,Private,40-Mile Christian Education Society ,9302,,3,10,12,10,6,14,10,8,11,3,2,3,1,93
1995/1996,Private,Maskwachees Cultural College Foundation ,9308,,,,,,,,,,,,129,25,10,164
1995/1996,Private,Bilingual Montessori Learn Cen ,9310,,,10,11,8,8,7,7,2,,,,,,53
1995/1996,Private,Mamawi Atosketan Native School ,9311,,1,4,2,5,4,7,3,6,2,,,,,34
1995/1996,Private,Lakeland Christian School Society ,9312,,,4,2,,3,1,1,3,2,5,4,,3,28
1995/1996,Private,Lighthouse Christian School Society ,9314,10,2,2,,,,,,,,,,,,14
1995/1996,Private,Devon Christian School Society ,9319,,7,2,4,4,3,4,4,6,9,3,,,,46
1995/1996,Private,Bellis Society of Missions ,9322,,8,3,,6,5,5,5,3,2,2,3,3,3,48
1995/1996,Private,North Calgary Christian Academy Foundation ,9325,,11,18,14,11,16,11,8,12,13,7,11,7,4,143
1995/1996,Private,Olds Mountain View Christian School Association ,9328,,6,,,1,2,,2,1,1,,2,,2,17
1995/1996,Private,Buffalo Creek Learning Center ,9330,,,3,12,3,12,6,5,7,12,3,25,5,,93
1995/1996,Private,Echo Valley Church of God in Christ Mennonite ,9331,,,4,2,1,1,2,2,,4,1,,,,17
1995/1996,Private,Calgary International College ,9332,,,,,,,,,4,5,5,15,17,7,53
1995/1996,Private,Banff Mtn Ski Academy Society ,9334,,,,,,,,,,,,13,16,15,44
1995/1996,Private,The North and Central Peace Christian School Society ,9335,,,,,2,2,1,4,1,2,3,,,,15
1995/1996,Private,Living Waters Christian  Academy ,9336,,19,5,8,7,7,6,13,6,12,5,,,,88
1995/1996,Private,Muslim Community Foundation of Calgary ,9337,,36,34,30,21,20,24,19,,,,,,,184
1995/1996,Private,High Level Christian Academy ,9338,,4,7,7,8,6,5,7,2,2,6,,,,54
1995/1996,Private,Almont Rose Centre for Learning ,9340,,,,,,,,,,,,8,6,45,59
1995/1996,Private,Equilibrium International Education Foundation ,9343,,,,,,,,,,,,19,11,10,40
1995/1996,Private,Brant Christian School Society ,9344,,6,9,7,7,5,7,3,8,7,3,,,,62
1995/1996,Private,Universal Educational Institute of Canada ,9346,,10,6,8,7,3,7,5,3,4,6,,6,,65
1995/1996,Private,Five Senses Learning Academy ,9347,,5,,,,,,,,,,,,,5
1995/1996,Private,Fort McMurray Christian School Society ,9349,,,2,3,3,5,5,9,,,,,,,27
1995/1996,Private,Lucy Baker School Society ,9351,,,,,,,,,,,8,,4,2,14
1995/1996,Private,Edison School Society ,9352,,8,5,8,9,3,3,4,8,3,1,,,,52
1995/1996,Private,Delta West Academy Society ,9353,,,1,3,2,2,1,1,4,4,5,5,7,5,40
1995/1996,Private,Little Pony Private Institute of Fine Arts ,9356,,,,4,2,2,4,6,7,9,6,5,2,,47
1995/1996,Private,Slave Lake Koinonia Chris Sch ,9357,,,1,3,2,2,4,5,6,7,3,,,,33
1995/1996,Private,Chief Mountain School Society ,9358,,,,1,,,2,,1,,,,,,4
1995/1996,Private,The Learning Experience Society ,9363,,55,12,,,,,,,,,,,,67
1995/1996,Private,Educere Learning Society ,9364,,,,,,,,,,,,3,,,3
1995/1996,Private,The Edmonton Lutheran School Society ,9365,,11,8,4,4,6,6,3,6,3,5,,,,56
1995/1996,Private,Victory Christian School Society ,9366,,8,6,6,8,14,12,8,9,8,,1,,,80
1995/1996,Private,Prince of Peace Lutheran Church of Calgary ,9367,,21,10,11,18,12,19,18,14,15,12,,,,150
1995/1996,Private,Shiloh Pent Church St. Albert ,9369,,,2,,3,2,,1,2,,1,,,,11
1995/1996,Private,Sahpohtawahk Training Ctr Soc ,9371,34,,,,,,,,,,,26,,1,61
1995/1996,Private,Friends of Earth Vision Assoc ,9372,,,3,2,4,1,,1,1,,,1,,,13
1995/1996,Private,Whitemud Dem Child Care Soc ,9373,,6,,,,,,,,,,,,,6
1995/1996,Private,Edelweiss Preparatory School Society ,9374,,12,,,,,,,,,,,,,12
1995/1996,Private,The Heartland Agency ,9375,,7,,,,,,,,,,,,,7
1995/1996,Private,GRIT Calgary Society ,9376,,5,,,,,,,,,,,,,5
1995/1996,Private,Red Earth Childrens Assoc ,9377,,7,,,,,,,,,,,,,7
1995/1996,Private,The Canadian Choral Music School ,9378,,,1,2,1,1,4,8,4,2,,,,,23
1995/1996,Private,Clear Water Academy Foundation ,9379,,,3,4,2,3,4,2,3,,1,,,,22
1995/1996,Private,Alberta Conference of 7th Day Adventist Church ,9382,,39,53,56,44,55,47,50,45,60,43,21,9,2,524
1995/1996,Private,Alberta Charitable Society of St. Pius X ,9383,,,,,1,,,2,,,1,,,,4
1995/1996,Private,Barnwell Kindergarten Society ,9384,,18,,,,,,,,,,,,,18
1995/1996,Private,Airdrie Daycare ECS Services ,9385,,4,,,,,,,,,,,,,4
1995/1996,Private,Diaspora Communications & Human Resources Institute Inc. ,9386,,,,,,,,,,,,9,,,9
1995/1996,Private,Berwyn Kindergarten Society ,9501,,16,,,,,,,,,,,,,16
1995/1996,Private,Dixonville Soc For ECS ,9503,,10,,,,,,,,,,,,,10
1995/1996,Private,Manning Kindergarten Assoc ,9506,,43,,,,,,,,,,,,,43
1995/1996,Private,Peace River Kindergarten Society ,9507,,87,,,,,,,,,,,,,87
1995/1996,Private,Paddle Valley Early Ed Program ,9516,,58,,,,,,,,,,,,,58
1995/1996,Private,Smoky Lake District ECS ,9518,,3,,,,,,,,,,,,,3
1995/1996,Private,Assoc For Hearing Handi ,9522,,16,,,,,,,,,,,,,16
1995/1996,Private,Department of Elementary Education University of Alberta ,9528,,67,,,,,,,,,,,,,67
1995/1996,Private,Dewberry Early Childhood Parents Society ,9529,,9,,,,,,,,,,,,,9
1995/1996,Private,Kitscoty and District Early Childhood Education Kindergarten ,9539,,41,,,,,,,,,,,,,41
1995/1996,Private,Londonderry Child Development Society ,9543,,13,,,,,,,,,,,,,13
1995/1996,Private,First Mennonite Church ,9546,,12,,,,,,,,,,,,,12
1995/1996,Private,Norwood Community Service Centre ,9550,,37,,,,,,,,,,,,,37
1995/1996,Private,Pigeon Lake Regional Early Childhood Services Advisory ,9551,,29,,,,,,,,,,,,,29
1995/1996,Private,Rosebrier Early Childhood Services ,9553,,11,,,,,,,,,,,,,11
1995/1996,Private,St. Peter's Lutheran Kindergarten (Leduc) ,9559,,8,,,,,,,,,,,,,8
1995/1996,Private,Sherwood Park Kindergarten ,9562,,47,,,,,,,,,,,,,47
1995/1996,Private,Winfield Child Development Association ,9570,,11,,,,,,,,,,,,,11
1995/1996,Private,Big Valley ECS Soc ,9576,,14,,,,,,,,,,,,,14
1995/1996,Private,Castor Early Childhood Society ,9582,,28,,,,,,,,,,,,,28
1995/1996,Private,Bawlf E.C.S. Society ,9583,,24,,,,,,,,,,,,,24
1995/1996,Private,Hardisty Early Childhood Services Society ,9596,,23,,,,,,,,,,,,,23
1995/1996,Private,Early Childhood Services of Innisfail ,9598,,70,,,,,,,,,,,,,70
1995/1996,Private,Kingman-Round Hill Child Development Centre ,9600,,15,,,,,,,,,,,,,15
1995/1996,Private,Mecca Glen ECS Society ,9602,,15,,,,,,,,,,,,,15
1995/1996,Private,Ponoka Central ECS Society ,9605,,58,,,,,,,,,,,,,58
1995/1996,Private,Ponoka R Side K Loc Adv Com ,9606,,16,,,,,,,,,,,,,16
1995/1996,Private,Provost Pre-School ,9607,,43,,,,,,,,,,,,,43
1995/1996,Private,Sedgewick Early Childhood Centre ,9612,,21,,,,,,,,,,,,,21
1995/1996,Private,The Sunshiners Pre-School Association ,9616,,26,,,,,,,,,,,,,26
1995/1996,Private,Sylvan Lake Kinder-Care Association ,9617,,32,,,,,,,,,,,,,32
1995/1996,Private,Waverly ECS Society ,9620,,28,,,,,,,,,,,,,28
1995/1996,Private,Bearspaw Pre-School Society ,9626,,10,,,,,,,,,,,,,10
1995/1996,Private,Blackie ECS ,9627,,18,,,,,,,,,,,,,18
1995/1996,Private,Calgary French & International School Society ,9632,,49,57,35,40,29,35,11,,,,,,,256
1995/1996,Private,The Calgary Jewish Academy ,9633,,46,45,39,41,45,39,45,30,40,38,,,,408
1995/1996,Private,Chestermere-Conrich ECS K ,9640,,47,,,,,,,,,,,,,47
1995/1996,Private,Churchill Park Day Care Soc ,9641,,18,,,,,,,,,,,,,18
1995/1996,Private,Cremona ECS ,9644,,43,,,,,,,,,,,,,43
1995/1996,Private,Dalhousie Community Association ,9647,,16,,,,,,,,,,,,,16
1995/1996,Private,Highwood ECS ,9655,,110,,,,,,,,,,,,,110
1995/1996,Private,Highwood Community E.C.S. Association ,9656,,16,,,,,,,,,,,,,16
1995/1996,Private,Hounsfield Heights-Briar Hill Community Association ,9657,,20,,,,,,,,,,,,,20
1995/1996,Private,Huntington Hills Community Association ,9658,,21,,,,,,,,,,,,,21
1995/1996,Private,Longview Early Ch Soc ,9660,,35,,,,,,,,,,,,,35
1995/1996,Private,Oyen ECS ,9666,,14,,,,,,,,,,,,,14
1995/1996,Private,Renfrew Educational Services Society ,9672,,360,10,8,,,,,,,,,,,378
1995/1996,Private,Rosedale Comm Kind ,9674,,26,,,,,,,,,,,,,26
1995/1996,Private,Glamorgan Community Early Childhood Services (E.C.S.) Institute ,9680,,60,,,,,,,,,,,,,60
1995/1996,Private,Turner Valley ECS ,9687,,23,,,,,,,,,,,,,23
1995/1996,Private,Barons Kindergarten Association ,9691,,6,,,,,,,,,,,,,6
1995/1996,Private,Captain Crunch College ,9693,,2,,,,,,,,,,,,,2
1995/1996,Private,Coutts Kiddies Korner ,9697,,10,,,,,,,,,,,,,10
