School Year,School Authority Category,School Authority Name,School Authority Code,Ungraded,ECS,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,Total
2016/2017,Public,Battle River Regional Division No. 31 ,2285,,442,491,529,520,524,463,456,479,450,463,465,474,556,6312
2016/2017,Public,Parkland School Division No. 70 ,2305,,1082,864,882,882,873,815,819,718,779,717,735,736,907,10809
2016/2017,Public,Edmonton School District No. 7 ,3020,,8779,7872,7422,7471,7403,6965,6572,6533,6627,6383,6660,6819,10502,96008
2016/2017,Public,Calgary School District No. 19 ,3030,,9335,9945,9839,9762,9134,8594,8277,7998,7828,7729,8536,8916,12900,118793
2016/2017,Public,Lethbridge School District No. 51 ,3040,,1116,822,956,788,817,824,756,796,721,755,764,766,836,10717
2016/2017,Public,Medicine Hat School District No. 76 ,3050,,847,553,629,577,563,526,525,497,514,498,513,518,611,7371
2016/2017,Public,Canadian Rockies Regional Division No. 12 ,3065,,180,196,174,168,168,164,164,124,138,150,226,221,200,2273
2016/2017,Public,Red Deer Public School District No. 104 ,3070,,980,862,831,826,860,787,719,655,763,836,775,816,920,10630
2016/2017,Public,Lloydminster Public School Division ,3170,,170,171,203,187,196,200,200,216,156,169,358,255,310,2791
2016/2017,Public,Grande Prairie School District No. 2357 ,3240,,817,612,619,613,617,613,563,529,548,527,568,508,786,7920
2016/2017,Public,Fort McMurray Public School District No. 2833 ,3260,,892,419,418,404,362,331,318,327,334,270,281,325,512,5193
2016/2017,Public,St. Albert Public School District No. 5565 ,7020,,655,593,650,577,586,573,578,556,552,551,619,666,970,8126
2016/2017,Separate,Red Deer Catholic Regional Division No. 39 ,0019,,1079,770,788,731,747,693,675,663,669,640,628,684,765,9532
2016/2017,Separate,St. Thomas Aquinas Roman Catholic Separate Regional Division No. 38 ,0020,,465,417,386,378,348,356,299,320,313,267,147,120,171,3987
2016/2017,Separate,Holy Family Catholic Regional Division No. 37 ,0021,,141,160,184,164,162,194,178,183,180,194,142,118,130,2130
2016/2017,Separate,Elk Island Catholic Separate Regional Division No. 41 ,0046,,511,467,463,508,472,504,476,451,479,507,533,408,463,6242
2016/2017,Separate,Living Waters Catholic Regional Division No. 42 ,0047,,221,181,172,201,148,142,136,163,167,161,160,132,161,2145
2016/2017,Separate,Evergreen Catholic Separate Regional Division No. 2 ,0048,,347,305,347,284,327,308,318,320,313,329,318,279,307,4102
2016/2017,Separate,Edmonton Catholic Separate School District No. 7 ,0110,,4982,3075,3196,3021,2992,2943,2828,2805,2841,2524,3122,2783,4063,41175
2016/2017,Separate,Calgary Roman Catholic Separate School District No. 1 ,4010,,4088,4167,4392,4512,4376,4149,3996,3982,4017,2924,5212,4028,4986,54829
2016/2017,Separate,Greater St. Albert Roman Catholic Separate School District No. 734 ,4077,,538,377,436,445,438,437,476,445,506,290,589,378,465,5820
2016/2017,Separate,Lakeland Roman Catholic Separate School District No. 150 ,4105,,385,181,223,211,182,158,176,191,152,160,151,117,138,2425
2016/2017,Separate,Grande Prairie Roman Catholic Separate School District No. 28 ,4130,,740,431,421,444,411,393,323,340,332,305,287,314,298,5039
2016/2017,Separate,Fort McMurray Roman Catholic Separate School District No. 32 ,4160,,971,470,502,437,411,337,338,362,367,380,377,371,390,5713
2016/2017,Separate,Christ the Redeemer Catholic Separate Regional Division No. 3 ,4208,,600,785,814,895,929,882,905,920,838,793,799,683,826,10669
2016/2017,Separate,East Central Alberta Catholic Separate Schools Regional Division No. 16 ,4330,,139,200,202,174,173,179,160,190,218,201,168,158,226,2388
2016/2017,Separate,Holy Spirit Roman Catholic Separate Regional Division No. 4 ,4481,,553,405,418,415,386,375,365,332,375,338,367,311,376,5016
2016/2017,Separate,Medicine Hat Catholic Separate Regional Division No. 20 ,4501,,293,168,173,169,185,176,194,205,201,211,198,163,223,2559
2016/2017,Separate,Lloydminster Roman Catholic Separate School Division ,4870,,281,228,204,191,171,166,148,138,206,174,179,197,161,2444
2016/2017,Francophone,The Southern Francophone Education Region No. 4 ,0284,,573,423,395,383,336,289,240,208,168,133,69,81,81,3379
2016/2017,Francophone,Greater North Central Francophone Education Region No. 2 ,8040,,475,341,362,323,323,269,229,215,165,180,133,163,149,3327
2016/2017,Francophone,Northwest Francophone Education Region No. 1 ,8050,,124,46,47,49,36,38,20,24,18,18,12,14,11,457
2016/2017,Francophone,East Central Francophone Education Region No. 3 ,8060,,177,65,77,63,63,64,48,43,44,48,70,56,162,980
2016/2017,Charter,Foundations for the Future Charter Academy Charter School Society ,0009,,306,306,310,302,292,287,290,288,278,272,166,162,135,3394
2016/2017,Charter,Suzuki Charter School Society ,0012,,46,46,46,46,44,45,44,,,,,,,317
2016/2017,Charter,Connect Charter School Society ,0045,,,,,,104,104,104,104,98,99,,,,613
2016/2017,Charter,Westmount Charter School Society ,0109,,82,77,87,89,92,107,108,106,135,111,101,90,108,1293
2016/2017,Charter,Calgary Arts Academy Society ,0151,,55,55,53,52,52,52,53,54,54,53,,,,533
2016/2017,Charter,Calgary Girls' School Society ,0152,,,,,,76,89,100,117,104,100,,,,586
2016/2017,Charter,Mother Earth's Children's Charter School Society ,0154,,9,9,8,9,8,11,4,2,11,4,,,,75
2016/2017,Charter,Valhalla School Foundation ,0224,,17,10,7,7,9,6,9,5,14,4,,,,88
2016/2017,Charter,New Horizons Charter School Society ,6015,,33,44,43,30,31,24,24,17,16,12,,,,274
2016/2017,Charter,Boyle Street Education Centre ,6017,,,,,,,,,,,,51,61,30,142
2016/2017,Charter,CAPE - Centre for Academic and Personal Excellence Institute ,6019,,30,24,26,27,27,30,17,16,11,10,,,,218
2016/2017,Charter,Aurora School Ltd. ,6020,,81,80,80,80,88,66,66,96,72,48,,,,757
